Folder Path,Original Name,View Link,Direct Image Link
dress images/VN,07.png,https://drive.google.com/file/d/1pF2WfLSQM-61oCOu2DJ1vQD7NnfyYlBO/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1pF2WfLSQM-61oCOu2DJ1vQD7NnfyYlBO
dress images/VN,19.png,https://drive.google.com/file/d/1WZjQcQ276fgGTxY_UL4xCmQ1EOVQ16_o/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1WZjQcQ276fgGTxY_UL4xCmQ1EOVQ16_o
dress images/HN,01.jpg,https://drive.google.com/file/d/1-MqnXA-gjjbbzjbZHJuL1PjRAfHprg2w/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1-MqnXA-gjjbbzjbZHJuL1PjRAfHprg2w
dress images/HN,08.jpg,https://drive.google.com/file/d/1K0honqxT-Pn4PJwvwm6-1ouRDE7OJI10/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1K0honqxT-Pn4PJwvwm6-1ouRDE7OJI10
dress images/HN,04.jpg,https://drive.google.com/file/d/1MDMn16ddtkq06uUF2TDcX68zWzK_bvkg/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1MDMn16ddtkq06uUF2TDcX68zWzK_bvkg
dress images/HN,16.jpg,https://drive.google.com/file/d/1Psd6CWPY2DFvvs1F3yAqsblm2mOtjhjE/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1Psd6CWPY2DFvvs1F3yAqsblm2mOtjhjE
dress images/HN,05.jpg,https://drive.google.com/file/d/1cWVJJcIcDQMZubND9AIM0iluuo-pWnYV/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1cWVJJcIcDQMZubND9AIM0iluuo-pWnYV
dress images/HN,14.jpg,https://drive.google.com/file/d/1kKe9io8zJM8C2kCXvOHyVt3shK7DLvfg/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1kKe9io8zJM8C2kCXvOHyVt3shK7DLvfg
dress images/HN,19.png,https://drive.google.com/file/d/1vyToFua531Ody5vvTOpK6KFs1oEfJtHj/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1vyToFua531Ody5vvTOpK6KFs1oEfJtHj
dress images/HN,18.png,https://drive.google.com/file/d/1BKy5SWPQeZjW3UmhYTP_nZ7pSOr5BBOz/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1BKy5SWPQeZjW3UmhYTP_nZ7pSOr5BBOz
dress images/HN,17.png,https://drive.google.com/file/d/1VXNargUZeMKqtfQ2mDWnIo-WaWiYNBn4/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1VXNargUZeMKqtfQ2mDWnIo-WaWiYNBn4
dress images/HN,20.png,https://drive.google.com/file/d/1e-hQ9o5HLRM7_4aekB354f8CLVe22-87/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1e-hQ9o5HLRM7_4aekB354f8CLVe22-87
dress images/HN,13.png,https://drive.google.com/file/d/1gHGnfHydREv_JpGH6mR248MTCfNmu2-U/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1gHGnfHydREv_JpGH6mR248MTCfNmu2-U
dress images/HN,12.png,https://drive.google.com/file/d/1MO-_AgvVD_8EN6z1SLLUaotrOZQ015ZS/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1MO-_AgvVD_8EN6z1SLLUaotrOZQ015ZS
dress images/HN,11.png,https://drive.google.com/file/d/1u2Ig5EdSQTsjAEjlGD1vqz4zqRbWAOW7/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1u2Ig5EdSQTsjAEjlGD1vqz4zqRbWAOW7
dress images/HN,10.png,https://drive.google.com/file/d/1zhe9EJsrfk-C4Svzahv0jxWZOg9g6gNS/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1zhe9EJsrfk-C4Svzahv0jxWZOg9g6gNS
dress images/HN,09.png,https://drive.google.com/file/d/1sVNjzAmPyFbRr6Vebh2RvvfyiUohI4As/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1sVNjzAmPyFbRr6Vebh2RvvfyiUohI4As
dress images/HN,07.png,https://drive.google.com/file/d/1qB2CflAvlpRMpvb2j2T8bptABB_XZB2a/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1qB2CflAvlpRMpvb2j2T8bptABB_XZB2a
dress images/HN,06.png,https://drive.google.com/file/d/1RvftJkr3-m67gM-r97MlW3Os2rsLwan_/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1RvftJkr3-m67gM-r97MlW3Os2rsLwan_
dress images/HN,03.png,https://drive.google.com/file/d/15KrQxbKdEGZZrDDsTSYRwgC-u5L9ZSH1/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=15KrQxbKdEGZZrDDsTSYRwgC-u5L9ZSH1
dress images/HN,02.png,https://drive.google.com/file/d/1oztByQ7g_kmSbABpXljh1Gnyi0Nmxz4J/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1oztByQ7g_kmSbABpXljh1Gnyi0Nmxz4J
dress images/HN,15.png,https://drive.google.com/file/d/1tcYpVuvP79H1ANyJq7r-ua4pY4A0UzlZ/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1tcYpVuvP79H1ANyJq7r-ua4pY4A0UzlZ
dress images/AL,22.jpg,https://drive.google.com/file/d/1KswuU3gpZsJAa3PulfSYTqPqRpexN25_/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1KswuU3gpZsJAa3PulfSYTqPqRpexN25_
dress images/AL,21.jpg,https://drive.google.com/file/d/1WTh3eSoSQ___AV4Bdutu83fsqN07ZptJ/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1WTh3eSoSQ___AV4Bdutu83fsqN07ZptJ
dress images/AL,20.png,https://drive.google.com/file/d/1GZ4LG_KfgQ2JYwIBM6wIphZobF3lkNG1/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1GZ4LG_KfgQ2JYwIBM6wIphZobF3lkNG1
dress images/AL,03.jpg,https://drive.google.com/file/d/1HQ1JbrS_7EJbxZx2tUaSQLiabji3Zeos/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1HQ1JbrS_7EJbxZx2tUaSQLiabji3Zeos
dress images/AL,06.jpg,https://drive.google.com/file/d/1fVWaOtaA7gEv_W_gb4GEqq6T-Gysi2w2/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1fVWaOtaA7gEv_W_gb4GEqq6T-Gysi2w2
dress images/AL,08.jpg,https://drive.google.com/file/d/1N3hk_v4DsA-BpmCr_cWKn74hbty98_l3/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1N3hk_v4DsA-BpmCr_cWKn74hbty98_l3
dress images/AL,09.jpg,https://drive.google.com/file/d/1Qcv0m4ShydF9cui7HOxngraoRkZBOFsB/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1Qcv0m4ShydF9cui7HOxngraoRkZBOFsB
dress images/AL,10.jpg,https://drive.google.com/file/d/1JjUuseVeDJnubhQflqSblX2WCwoS8FgK/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1JjUuseVeDJnubhQflqSblX2WCwoS8FgK
dress images/AL,07.jpg,https://drive.google.com/file/d/1KpnEJwt_Y8zDSgbFw9xRmAGFPsmm8_5T/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1KpnEJwt_Y8zDSgbFw9xRmAGFPsmm8_5T
dress images/AL,05.jpg,https://drive.google.com/file/d/1Ia6cbPa7gWbzBwsxoVWkdFiOxrWyvLmU/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1Ia6cbPa7gWbzBwsxoVWkdFiOxrWyvLmU
dress images/AL,04.jpg,https://drive.google.com/file/d/1AKLcSSiWUxTnUBl85A1ag9FkBrzTtu_y/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1AKLcSSiWUxTnUBl85A1ag9FkBrzTtu_y
dress images/AL,02.jpg,https://drive.google.com/file/d/1Kehr9zadOmpPqe6tWVqx05suMhVx0HTH/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1Kehr9zadOmpPqe6tWVqx05suMhVx0HTH
dress images/AL,01.jpg,https://drive.google.com/file/d/1NiYXZfvMD_x_BA8lxWImlZBc7YP86WoU/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1NiYXZfvMD_x_BA8lxWImlZBc7YP86WoU
dress images/AL,11.jpg,https://drive.google.com/file/d/1FNUMpaqXLa9p0GmvKi5PDOaLf9fXiQig/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1FNUMpaqXLa9p0GmvKi5PDOaLf9fXiQig
dress images/AL,13.png,https://drive.google.com/file/d/1ILoSY-ZA0f6drDERNsKELsM_x1pbUp7D/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1ILoSY-ZA0f6drDERNsKELsM_x1pbUp7D
dress images/AL,16.png,https://drive.google.com/file/d/1jO3ubVTGL6coLHDy92bcd6TfT5OAxtgr/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1jO3ubVTGL6coLHDy92bcd6TfT5OAxtgr
dress images/AL,12.png,https://drive.google.com/file/d/1UX2ckl-k5srk6qcy_srXhAZ6GsMyYk_o/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1UX2ckl-k5srk6qcy_srXhAZ6GsMyYk_o
dress images/AL,14.png,https://drive.google.com/file/d/1OBpuKyQ0-Z5l5m0kaaT9xpoi2rdW8lJH/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1OBpuKyQ0-Z5l5m0kaaT9xpoi2rdW8lJH
dress images/AL,15.png,https://drive.google.com/file/d/1v4aDb3ponp40mUNSB4LvHE1jLAQWOp28/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1v4aDb3ponp40mUNSB4LvHE1jLAQWOp28
dress images/AL,17.png,https://drive.google.com/file/d/1dazstnROHhAIiNKDXh6UTyC2aO5grfyi/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1dazstnROHhAIiNKDXh6UTyC2aO5grfyi
dress images/AL,19.png,https://drive.google.com/file/d/1ADMmfd72TM2aN2TilcMTo9qKNIFJ4nEa/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1ADMmfd72TM2aN2TilcMTo9qKNIFJ4nEa
dress images/AL,18.png,https://drive.google.com/file/d/1Xn0oYV4mGmsW35w-vTK57eRnbKDXEIwG/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1Xn0oYV4mGmsW35w-vTK57eRnbKDXEIwG
dress images/VD,85.png,https://drive.google.com/file/d/1oJZJPsZz5E9UzTOLyjbGM1VndoMs5ebj/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1oJZJPsZz5E9UzTOLyjbGM1VndoMs5ebj
dress images/VD,86.png,https://drive.google.com/file/d/1raxwEY_dg5B9NqM7n8huHR7yYBYPzAZk/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1raxwEY_dg5B9NqM7n8huHR7yYBYPzAZk
dress images/VD,08.jpg,https://drive.google.com/file/d/1aI60aycvsgl4wSIJ6lzqn5vTNLEZY5gE/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1aI60aycvsgl4wSIJ6lzqn5vTNLEZY5gE
dress images/VD,09.jpg,https://drive.google.com/file/d/12IHle19VePzHQk8gzS9gqCk-gS_WNF4-/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=12IHle19VePzHQk8gzS9gqCk-gS_WNF4-
dress images/VD,06.jpg,https://drive.google.com/file/d/1chsO_VP2Xbk6-9IuLiJiFikCZNjH2cq8/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1chsO_VP2Xbk6-9IuLiJiFikCZNjH2cq8
dress images/VD,04.jpg,https://drive.google.com/file/d/1EA_dgp1TTF9VX2tmw1lqYqeA0mNgP9Sb/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1EA_dgp1TTF9VX2tmw1lqYqeA0mNgP9Sb
dress images/VD,07.jpg,https://drive.google.com/file/d/1rrMjcHGrlP89P-zj53SdYXCB7AUBC9GF/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1rrMjcHGrlP89P-zj53SdYXCB7AUBC9GF
dress images/VD,14.jpg,https://drive.google.com/file/d/1OXOuYlxCYks-MMb1SSS_frU5ZsqxsrlK/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1OXOuYlxCYks-MMb1SSS_frU5ZsqxsrlK
dress images/VD,15.jpg,https://drive.google.com/file/d/19wIjcpFdH7Q1UYo-Y5iI-zooRfRMDou5/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=19wIjcpFdH7Q1UYo-Y5iI-zooRfRMDou5
dress images/VD,30.jpg,https://drive.google.com/file/d/1vO0-W9L7LQ6MwSyKx_K9hKayB1Y57I7E/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1vO0-W9L7LQ6MwSyKx_K9hKayB1Y57I7E
dress images/VD,21.jpg,https://drive.google.com/file/d/1uODIBtnHHy5TbBgWZId_wNll7p76bOB9/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1uODIBtnHHy5TbBgWZId_wNll7p76bOB9
dress images/VD,24.jpg,https://drive.google.com/file/d/17ZYukHSTkBYjymq270Q-60niQBllDok7/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=17ZYukHSTkBYjymq270Q-60niQBllDok7
dress images/VD,34.jpg,https://drive.google.com/file/d/1Wsh4kN3dJvUGtXTPBXuk9kXj3bgDPqpz/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1Wsh4kN3dJvUGtXTPBXuk9kXj3bgDPqpz
dress images/VD,33.jpg,https://drive.google.com/file/d/1624D5mUqCBZ8sMysmUB5U1kdta1kopNa/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1624D5mUqCBZ8sMysmUB5U1kdta1kopNa
dress images/VD,35.jpg,https://drive.google.com/file/d/1RR92wh5I29Rfbo1oyWtJCfeY2eCRyqr8/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1RR92wh5I29Rfbo1oyWtJCfeY2eCRyqr8
dress images/VD,38.jpg,https://drive.google.com/file/d/16Q2AiRjC3MEtx2skgbaTGk15p_nLvs0L/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=16Q2AiRjC3MEtx2skgbaTGk15p_nLvs0L
dress images/VD,41.jpg,https://drive.google.com/file/d/1RmoqMIUnOYASmrHDOJUgqLqjPR4y-uXy/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1RmoqMIUnOYASmrHDOJUgqLqjPR4y-uXy
dress images/VD,49.jpg,https://drive.google.com/file/d/1Eto-gEAM1grl2E_meklFdpewwlYyYUdp/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1Eto-gEAM1grl2E_meklFdpewwlYyYUdp
dress images/VD,63.jpg,https://drive.google.com/file/d/1DkUxgrzovP8yddrtB1sxR8zFqXQB1J3h/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1DkUxgrzovP8yddrtB1sxR8zFqXQB1J3h
dress images/VD,77.jpg,https://drive.google.com/file/d/1cFlOL6CSzXTZjCPvoYiSWAOB2WMCrm7D/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1cFlOL6CSzXTZjCPvoYiSWAOB2WMCrm7D
dress images/VD,83.jpg,https://drive.google.com/file/d/1GNMCcBs1n4F9GKTcF3Rkzq1PTm2QPEH-/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1GNMCcBs1n4F9GKTcF3Rkzq1PTm2QPEH-
dress images/VD,82.jpg,https://drive.google.com/file/d/1GKT6iRd-kqncjDgN6q_pKMv-hyjp_gxh/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1GKT6iRd-kqncjDgN6q_pKMv-hyjp_gxh
dress images/VD,81.jpg,https://drive.google.com/file/d/10gK92lAx6P5QNi6PWS-24ZBgwVxHphOC/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=10gK92lAx6P5QNi6PWS-24ZBgwVxHphOC
dress images/VD,79.jpg,https://drive.google.com/file/d/1q0wVOCLm8QLyR3xLv5f9eZvrVP6vDzf7/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1q0wVOCLm8QLyR3xLv5f9eZvrVP6vDzf7
dress images/VD,80.jpg,https://drive.google.com/file/d/1p2Pkvw_jRDzVz6LP942bw69EP-0S61yF/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1p2Pkvw_jRDzVz6LP942bw69EP-0S61yF
